"agegroup";"ICSS1";"ICSS2";"ICSS3";"ageint_start";"ageint_end"
1;164;1128;6938;15;19
2;215;2011;11183;20;24
3;416;3745;12964;25;29
4;842;5755;11630;30;34
5;1874;7538;9635;35;39
6;3489;7823;7650;40;44
7;4906;8283;5324;45;49
8;7094;8717;4676;50;54
9;9641;9894;5224;55;59
10;13359;11106;4776;60;64
11;14234;10992;5067;65;69
12;14766;9008;4933;70;74
13;14131;7254;5179;75;79
14;9347;4116;3247;80;84
15;5522;2630;1574;85;Inf
