est_type,Tstop,est
observed,0.0416666666666667,0.981390199711236
observed,0.0833333333333333,0.963847169376404
observed,0.125,0.948345421724268
observed,0.166666666666667,0.937570301286374
observed,0.208333333333333,0.92578028820893
observed,0.25,0.912363994249892
observed,0.291666666666667,0.902369176509499
observed,0.333333333333333,0.891851776268536
observed,0.375,0.883166713259626
observed,0.416666666666667,0.873093975997225
observed,0.458333333333333,0.86648827129079
observed,0.5,0.85887170663351
observed,0.541666666666667,0.850234369959515
observed,0.583333333333333,0.842329275781104
observed,0.625,0.83478318481257
observed,0.666666666666667,0.828600284318715
observed,0.708333333333333,0.821134687697144
observed,0.75,0.814788335708347
observed,0.791666666666667,0.808559084820596
observed,0.833333333333333,0.801804999696462
observed,0.875,0.796310049381284
observed,0.916666666666667,0.792085244002219
observed,0.958333333333333,0.785028488511696
observed,1,0.778598232309352
observed,1.04166666666667,0.77344385647264
observed,1.08333333333333,0.769178505436292
observed,1.125,0.764250943226652
observed,1.16666666666667,0.758662813770902
observed,1.20833333333333,0.754492739573947
observed,1.25,0.749924816666895
observed,1.29166666666667,0.745349729110452
observed,1.33333333333333,0.740765862113802
observed,1.375,0.737090153163937
observed,1.41666666666667,0.730640432488278
observed,1.45833333333333,0.725234072281518
observed,1.5,0.721132595207421
observed,1.54166666666667,0.717682456085958
observed,1.58333333333333,0.712887521214174
observed,1.625,0.709414776986012
observed,1.66666666666667,0.705803749941108
observed,1.70833333333333,0.700570423866033
observed,1.75,0.697338672028378
observed,1.79166666666667,0.694234500137333
observed,1.83333333333333,0.690036374243957
observed,1.875,0.685829328977946
observed,1.91666666666667,0.682564440790869
observed,1.95833333333333,0.679425314144614
observed,2,0.673810815530036
observed,2.04166666666667,0.670105620562553
observed,2.08333333333333,0.666670664245692
observed,2.125,0.664325312156222
observed,2.16666666666667,0.660039444891826
observed,2.20833333333333,0.655326170435466
observed,2.25,0.652965059071654
observed,2.29166666666667,0.650182331587919
observed,2.33333333333333,0.647531845993664
observed,2.375,0.64543352368849
observed,2.41666666666667,0.641923770296489
observed,2.45833333333333,0.63798190700677
observed,2.5,0.635721497648542
observed,2.54166666666667,0.631756031106987
observed,2.58333333333333,0.629767811310052
observed,2.625,0.626775530707793
observed,2.66666666666667,0.622774335047696
observed,2.70833333333333,0.620479839382552
observed,2.75,0.618322963411499
observed,2.79166666666667,0.61616125857791
observed,2.83333333333333,0.613849272508596
observed,2.875,0.611530943730253
observed,2.91666666666667,0.608772992487515
observed,2.95833333333333,0.606298715026232
observed,3,0.604400658712402
observed,3.04166666666667,0.60161884125935
observed,3.08333333333333,0.59941807997161
observed,3.125,0.598239859838697
observed,3.16666666666667,0.595876108092694
observed,3.20833333333333,0.594246665324981
observed,3.25,0.592166165768523
observed,3.29166666666667,0.590377026580893
observed,3.33333333333333,0.58843522019844
observed,3.375,0.586487977939239
observed,3.41666666666667,0.58363271993903
observed,3.45833333333333,0.581823977218244
observed,3.5,0.579707814953865
observed,3.54166666666667,0.577737246774255
observed,3.58333333333333,0.576063399581851
observed,3.625,0.574075265895246
observed,3.66666666666667,0.571621166395402
observed,3.70833333333333,0.569006514010173
observed,3.75,0.566694811372602
observed,3.79166666666667,0.564529697537338
observed,3.83333333333333,0.562357740999281
observed,3.875,0.560645299022806
observed,3.91666666666667,0.557989904108975
observed,3.95833333333333,0.556424581078341
observed,4,0.555638624154605
observed,4.04166666666667,0.553745066051202
observed,4.08333333333333,0.552159533564894
observed,4.125,0.549931931930671
observed,4.16666666666667,0.547858932594384
observed,4.20833333333333,0.546898945192479
observed,4.25,0.544814646163885
observed,4.29166666666667,0.543045716320332
observed,4.33333333333333,0.541109864088704
observed,4.375,0.538846377837257
observed,4.41666666666667,0.536575937631647
observed,4.45833333333333,0.534459926533266
observed,4.5,0.531520480709939
observed,4.54166666666667,0.529881803490113
observed,4.58333333333333,0.528566036223298
observed,4.625,0.527906050070817
observed,4.66666666666667,0.52541737564035
observed,4.70833333333333,0.524085410022816
observed,4.75,0.523250026126163
observed,4.79166666666667,0.522076278885437
observed,4.83333333333333,0.52039530450021
observed,4.875,0.519047564526741
observed,4.91666666666667,0.517694440856346
observed,4.95833333333333,0.516675300270273
observed,5,0.514802668949215
observed,5.04166666666667,0.513607153621917
observed,5.08333333333333,0.512408562547353
observed,5.125,0.510691890122528
observed,5.16666666666667,0.508626976916691
observed,5.20833333333333,0.506897125228226
observed,5.25,0.50411870051853
observed,5.29166666666667,0.502374939508947
observed,5.33333333333333,0.500098211239924
observed,5.375,0.499043828071942
observed,5.41666666666667,0.497633226460364
observed,5.45833333333333,0.496925038500891
observed,5.5,0.495682596598367
observed,5.54166666666667,0.493543846721936
observed,5.58333333333333,0.492114707459127
observed,5.625,0.491218518136263
observed,5.66666666666667,0.48959666358842
observed,5.70833333333333,0.488329881265946
observed,5.75,0.487422069131922
observed,5.79166666666667,0.486511135773063
observed,5.83333333333333,0.485049727426109
observed,5.875,0.483950667332193
observed,5.91666666666667,0.483398981358618
observed,5.95833333333333,0.481922739332486
observed,6,0.479887816857612
observed,6.04166666666667,0.479145745321194
observed,6.08333333333333,0.476725810217765
observed,6.125,0.475793319961612
observed,6.16666666666667,0.475045142003635
observed,6.20833333333333,0.474105796662741
observed,6.25,0.472408817248079
observed,6.29166666666667,0.470704043385809
observed,6.33333333333333,0.469178875770327
observed,6.375,0.468221365943239
observed,6.41666666666667,0.46630155493794
observed,6.45833333333333,0.465146149352747
observed,6.5,0.464372274639424
observed,6.54166666666667,0.463594594293646
observed,6.58333333333333,0.462620163629471
